ride_id,booking_id,booking_date,booking_time,booking_status,customer_id,vehicle_id,pickup_location_id,drop_location_id,avg_vtat,avg_ctat,cancelled_ride_by_customer,customer_reason_id,cancelled_ride_by_driver,driver_reason_id,incomplete_ride,incomplete_reason_id,booking_value,ride_distance,driver_rating,customer_rating,payment_method
1,CNR4386945,2024-06-25,22:44:15,Cancelled by Driver,CID5543520,V03,L122,L082,4.60,null,0,null,1,R08,0,null,null,null,null,null,null
2,CNR2987763,2024-09-11,19:29:39,Completed,CID2669710,V04,L090,L039,12.20,28.20,0,null,0,null,0,null,394.00,21.44,4.10,4.70,UPI
3,CNR8962232,2024-10-18,18:28:53,Completed,CID1789354,V04,L088,L045,14.00,30.90,0,null,0,null,0,null,836.00,39.55,4.70,4.40,UPI
4,CNR2390352,2024-06-07,15:05:35,Completed,CID5432215,V01,L066,L080,8.50,36.90,0,null,0,null,0,null,410.00,34.76,4.00,4.90,Uber Wallet
5,CNR3221338,2024-07-01,10:51:16,Completed,CID2581698,V06,L055,L088,5.60,27.50,0,null,0,null,0,null,401.00,21.97,4.90,4.30,UPI
6,CNR6739317,2024-12-15,15:08:25,Cancelled by Driver,CID8682675,V05,L173,L045,6.00,null,0,null,1,R06,0,null,null,null,null,null,null
7,CNR6126048,2024-11-24,09:07:10,Cancelled by Customer,CID1060329,V03,L076,L005,12.40,null,1,R04,0,null,0,null,null,null,null,null,null
8,CNR9465840,2024-05-24,19:53:57,Cancelled by Driver,CID9046501,V03,L124,L132,10.30,null,0,null,1,R06,0,null,null,null,null,null,null
9,CNR9843229,2024-12-14,21:27:04,Completed,CID4929303,V05,L128,L093,6.10,33.70,0,null,0,null,0,null,264.00,13.64,3.80,4.70,Uber Wallet
10,CNR7911434,2024-07-29,06:28:22,Completed,CID8465004,V01,L043,L021,7.00,21.30,0,null,0,null,0,null,183.00,4.50,5.00,4.20,UPI
11,CNR6178330,2024-02-23,11:02:45,Completed,CID7719678,V04,L163,L058,10.40,25.10,0,null,0,null,0,null,713.00,38.03,3.70,3.60,UPI
12,CNR5309981,2024-03-09,20:14:24,Completed,CID3870048,V04,L112,L115,7.90,41.10,0,null,0,null,0,null,113.00,14.53,4.60,4.90,UPI
13,CNR2978950,2024-08-28,16:30:14,Completed,CID2977484,V01,L073,L005,13.60,25.20,0,null,0,null,0,null,767.00,7.39,3.80,4.60,Debit Card
14,CNR2806943,2024-08-08,06:34:38,Completed,CID7550481,V07,L114,L017,5.10,20.70,0,null,0,null,0,null,495.00,10.23,3.80,4.20,Credit Card
15,CNR3614535,2024-01-26,09:44:00,Cancelled by Driver,CID2507102,V01,L029,L142,11.50,null,0,null,1,R08,0,null,null,null,null,null,null
