location_id,location_name
L001,Adarsh Nagar
L002,AIIMS
L003,Akshardham
L004,Ambience Mall
L005,Anand Vihar
L006,Anand Vihar ISBT
L007,Ardee City
L008,Arjangarh
L009,Ashok Park Main
L010,Ashok Vihar
L011,Ashram
L012,Aya Nagar
L013,Azadpur
L014,Badarpur
L015,Badshahpur
L016,Bahadurgarh
L017,Barakhamba Road
L018,Basai Dhankot
L019,Bhikaji Cama Place
L020,Bhiwadi
L021,Botanical Garden
L022,Central Secretariat
L023,Chanakyapuri
L024,Chandni Chowk
L025,Chhatarpur
L026,Chirag Delhi
L027,Civil Lines Gurgaon
L028,Connaught Place
L029,Cyber Hub
L030,Delhi Gate
L031,Dilshad Garden
L032,DLF City Court
L033,DLF Phase 3
L034,Dwarka Mor
L035,Dwarka Sector 21
L036,Faridabad Sector 15
L037,Ghaziabad
L038,Ghitorni
L039,Ghitorni Village
L040,Golf Course Road
L041,Govindpuri
L042,Greater Kailash
L043,Greater Noida
L044,Green Park
L045,GTB Nagar
L046,Gurgaon Railway Station
L047,Gurgaon Sector 29
L048,Gurgaon Sector 56
L049,Gwal Pahari
L050,Hauz Khas
L051,Hauz Rani
L052,Hero Honda Chowk
L053,Huda City Centre
L054,IFFCO Chowk
L055,IGI Airport
L056,IGNOU Road
L057,IIT Delhi
L058,IMT Manesar
L059,INA Market
L060,Inderlok
L061,India Gate
L062,Indirapuram
L063,Indraprastha
L064,ITO
L065,Jahangirpuri
L066,Jama Masjid
L067,Janakpuri
L068,Jasola
L069,Jhilmil
L070,Jor Bagh
L071,Kadarpur
L072,Kalkaji
L073,Kanhaiya Nagar
L074,Karkarduma
L075,Karol Bagh
L076,Kashmere Gate
L077,Kashmere Gate ISBT
L078,Kaushambi
L079,Keshav Puram
L080,Khan Market
L081,Khandsa
L082,Kherki Daula Toll
L083,Kirti Nagar
L084,Lajpat Nagar
L085,Lal Quila
L086,Laxmi Nagar
L087,Lok Kalyan Marg
L088,Madipur
L089,Maidan Garhi
L090,Malviya Nagar
L091,Mandi House
L092,Manesar
L093,Mansarovar Park
L094,Mayur Vihar
L095,Meerut
L096,Mehrauli
L097,MG Road
L098,Model Town
L099,Moolchand
L100,Moti Nagar
L101,Mundka
L102,Munirka
L103,Narsinghpur
L104,Nawada
L105,Nehru Place
L106,Netaji Subhash Place
L107,New Colony
L108,New Delhi Railway Station
L109,Nirman Vihar
L110,Noida Extension
L111,Noida Film City
L112,Noida Sector 18
L113,Noida Sector 62
L114,Okhla
L115,Old Gurgaon
L116,Paharganj
L117,Palam Vihar
L118,Panchsheel Park
L119,Panipat
L120,Paschim Vihar
L121,Pataudi Chowk
L122,Patel Chowk
L123,Peeragarhi
L124,Pitampura
L125,Pragati Maidan
L126,Preet Vihar
L127,Pulbangash
L128,Punjabi Bagh
L129,Qutub Minar
L130,Raj Nagar Extension
L131,Rajiv Chowk
L132,Rajiv Nagar
L133,Rajouri Garden
L134,Ramesh Nagar
L135,Rithala
L136,RK Puram
L137,Rohini
L138,Rohini East
L139,Rohini West
L140,Sadar Bazar Gurgaon
L141,Saidulajab
L142,Saket
L143,Saket A Block
L144,Samaypur Badli
L145,Sarai Kale Khan
L146,Sarojini Nagar
L147,Satguru Ram Singh Marg
L148,Seelampur
L149,Shahdara
L150,Shastri Nagar
L151,Shastri Park
L152,Shivaji Park
L153,Sikanderpur
L154,Sohna Road
L155,Sonipat
L156,South Extension
L157,Subhash Chowk
L158,Subhash Nagar
L159,Sultanpur
L160,Sushant Lok
L161,Tagore Garden
L162,Tilak Nagar
L163,Tis Hazari
L164,Tughlakabad
L165,Udyog Bhawan
L166,Udyog Vihar
L167,Udyog Vihar Phase 4
L168,Uttam Nagar
L169,Vaishali
L170,Vasant Kunj
L171,Vatika Chowk
L172,Vidhan Sabha
L173,Vinobapuri
L174,Vishwavidyalaya
L175,Welcome
L176,Yamuna Bank
